pipeline_name,display_name,function
supply_chain_tracker,Supply Chain Tracker,读取供应链状态更新，构建时间线并评估延误风险。
ticket_router,Ticket Router,客服工单自动路由应用。
ticket_triage,客服工单分诊 MVP,这个应用是一个基于 SAGE 构建的、可直接运行的客服工单分诊 Demo。
traffic_briefing,交通突发事件简报系统,交通突发事件简报系统
triage_structurer,门急诊分诊整理系统,门急诊分诊整理系统
urban_repair_scheduler,城市设施维修调度系统,城市设施维修调度系统
user_behavior_analytics,User Behavior Analytics,用户行为事件采集与分析应用。
vendor_evaluation_standardizer,Vendor Evaluation Standardizer,读取供应商评估数据，统一字段、标准化评分并标记风险等级。
video,Video Intelligence,视频分析与智能处理 pipeline。
voucher_classifier,Voucher Classifier,财务凭证自动分类应用。
warehouse_slot_optimizer,Warehouse Slot Optimizer,仓库货位优化应用。
weather_sales_forecast,Weather Sales Forecast,天气驱动销量预测应用。
web_scraper,Web Scraper,网页内容抓取与表格抽取应用。
work_report_generator,Work Report Generator,基于 SAGE 框架的周报/日报自动生成器。
